ID,day,waitingtime,line,drinks,cost,number
10028,11,30,바나나 알러지 원숭이,banana_milk,2500,1
10029,12,30,바나나 밀크 라떼 주세요,banana_milk_latte,2500,1
10030,12,30,바나나 밀크 라떼 차갑게,ice_banana_milk_latte,3000,1
10031,13,30,쉐이크에 바나나를 넣으면 어떨까요?,banana_shake,3500,1
10032,13,30,바나나 쉐이크 한 잔 주세요.,banana_shake,3500,1
10033,14,30,"아침엔 상큼한 게 먹고 싶어요. 주스, 아이스로 주세요.",ice_morning_juice,2500,1
10034,14,30,아침엔 상큼한 게 먹고 싶어요. 주스로 주세요.,morning_juice,2000,1
10035,15,30,헤이즐넛 향이 나는 아메리카노도 있나요?,hazelnut_americano,2000,1
10036,15,30,아바라 한 잔 줘,ice_vanila_latte,3000,1
10037,16,30,사과 쉐이크 주세요,apple_shake,3500,1
10038,17,30,꿀아메 주세요!,honey_americano,2000,1
10039,17,30,아이스 꿀아메 주세요!,ice_honey_americano,2500,1
10040,18,30,허니 밀크는 무슨 맛일까요?,honey_milk,2500,1
10041,18,30,아이스 허니 밀크는 무슨 맛일까요?,ice_honey_milk,3000,1
10042,19,30,꿀 바나나 쉐이크 한 잔 주세요.,honey_banana_shake,3500,1
10043,19,30,꿀바쉐 한 잔 주세요,honey_banana_shake,3500,1
10044,20,30,따뜻한 거 줘,honey_milk,2500,1
10045,20,30,차가운 거 줘,ice_morning_juice,2500,1
10046,21,30,애플 에이드 한 잔 주세요,apple_ade,2000,1
10047,21,30,아이스 애플 에이드로요,ice_apple_ade,2500,1
10048,22,30,카라멜 마끼아또 주세요,caramel macchiato,2500,1
10049,22,30,마끼아또 주세요,caramel macchiato,2500,1
10050,23,30,레몬 에이드 시원하게 주세요,ice_lemon_ade,2500,1
10051,23,30,레몬 에이드 주세요,lemon_ade,2000,1
10052,24,30,레몬 크림 샤워 한 잔이요,lemon_creamsour,3000,1
10053,24,30,레몬 샤워인가? 그거 하나 주세요,lemon_creamsour,3000,1
10054,25,30,잠이 확 깨는 거 있나요?,espresso,1500,1
10055,25,30,잠이 잘 드는 거 있나요?,honey_milk,2500,1
10056,26,30,체리 에이드 주세요,cherry_ade,2000,1
10057,26,30,아이스 체리 에이드 주세요,ice_cherry_ade,2500,1
10058,27,30,상큼 에이드 한 잔 주세요,sour_ade,2700,1
10059,27,30,상큼 에이드 부탁해요,sour_ade,2700,1
10060,28,30,커피 프라페 한 잔 주세요,coffee_frappe,3000,1
10061,28,30,프라페 커피로,coffee_frappe,3000,1
10062,29,30,애플 프라페 한 잔 주세요,apple_frappe,3000,1
10063,29,30,사과로 만든 프라페는 없나요?,apple_frappe,3000,1
10064,30,30,커피 파르페 주세요,coffee_frappe,3000,1
10065,30,30,애플 파르페 주세요!,apple_frappe,3000,1
10066,31,30,딸바 쉐이크 한 잔 주세요~,strawberry_banana_shake,3500,1
10067,31,30,쉐이크 with 딸기 and 바닐라,strawberry_banana_shake,3500,1
10068,32,30,점이 많은 과일을 알고 있나요? 에이드로 원해요,strawberry_ade,2000,1
10069,32,30,스트로베리 에이드 아이스로 주세요,ice_strawberry_ade,2500,1
10070,33,30,딸쥬. 딸기 주스. 딸기 주스 죠.,strawberry_juice,2000,1
10071,33,30,아이스 딸기 주스 있나요? 냉동 딸기는 아니겠죠?,ice_strawberry_juice,2500,1
10072,34,30,딸.바.초.,sweets_latte,3000,1
10073,34,30,"딸기, 바나나, 초콜렛이 들어간 라떼 주세요",sweets_latte,3000,1
10074,35,30,다방 커피같이 달달하게 프림 넣은 거 줘,vanilla_latte,2500,1
10075,35,30,탄밥 누룽지처럼 구수한 거 있어?,americano,1500,1
10076,36,30,오렌지를 먹어 본 지가 오렌지,orange_juice,2000,1
10077,36,30,아이스 오렌지를 마셔 본 지가 아이스 오렌지,ice_orange_juice,2500,1
10078,37,30,딸기 우유는 원래 빨갛다,strawberry_milk,2500,1
10079,37,30,허니 밀크는 아이스로,ice_honey_milk,3000,1
10080,38,30,오레. 오레오레. 아이스 오레.,ice_orange_juice,3000,1
10081,38,30,상큼한 주스 주세요!,orange_juice,2000,1
10082,39,30,summer juice please,summer_juice,2500,1
10083,39,30,땀 흘리는 외국인은 썸머 주스를 원해,summer_juice,2500,1
10084,40,30,시원한 주스 있나요? 과일이면 좋겠는데요,strawberry_juice,2000,1
10085,40,30,아침에 마시기 좋은 주스 종류가 있을까요?,morning_juice,2000,1
10086,41,30,파. 파파파. 파파. 파인애플,pineapple_juice,2000,1
10087,41,30,아이스 파. 아이스 파파. 파인애플 주스,ice_pineapple_juice,2500,1
10088,42,30,파인애플 주스 한 잔 주세요,pineapple_juice,2000,1
10089,42,30,아이스 파인애플 주스 하나요,ice_pineapple_juice,2500,1
10090,43,30,체리 파인 샤워는 무슨 맛이예요?,cherry_pine_sour,4000,1
10091,43,30,체리 파인이 뭐죠?,cherry_pine_sour,4000,1
10092,44,30,벚꽃 한 잔,cherry_blossom,3500,1
10093,44,30,체리 블러썸은 샴푸 향인 줄 알았는데,cherry_blossom,3500,1
10094,45,30,체리 샤워인가 하나 줘요,cherry_pine_sour,4000,1
10095,45,30,레몬 크림 샤워가 아니라 사우어가 맞아요. 아무튼 그거 한 잔,lemon_creamsour,3000,1
10096,46,30,생 포도 없어? 그거 줘,grape_juice,2000,1
10097,46,30,시원~한 생 포도 하나 주면 좋겠는데,ice_grape_juice,2500,1
10098,47,30,90도씨로 예열한 데미타세에 과테말라 안티구아 풀시티 로스팅 융드립으로 1.5온스,americano,1500,1
10099,47,30,엄지 척! 딸기 주스 주세요,grape_strawberry_juice,2500,1
10100,48,30,엄지 척! 에이드 주세요,grape_ade,2000,1
10101,48,30,그레이프 푸르츠가 맞는 말 아닌가요? 아무튼 에이드로 주세요,grape_ade,2000,1
10102,49,30,포도 파르페 주세요,grape_frappe,3000,1
10103,49,30,포도 프라푸치노 주세요,grape_frappe,3000,1
10104,50,30,전 여름이 좋아요,summer_juice,2500,1
10105,50,30,제일 잘 나가는 거 주세요,ice_americano,1500,1
10106,51,30,레몬 파파파 한 잔!,lemon_frappe,3000,1
10107,51,30,레몬 프라페는 얼음이 들어가나요? 들어가면 한 잔 주세요,lemon_frappe,3000,1
10108,52,30,딸기 파라파 주세요,strawberry_frappe,3000,1
10109,52,30,체리 파파파 주세요,cherry_frappe,3000,1
10110,53,30,오렌지 파파파 프프프 페페페,orange_frappe,3000,1
10111,53,30,허니 밀크 라떼 하나요,honey_milk_latte,3000,1
10112,53,30,우리 42 오렌지 42다,orange_soda,3500,1
10113,53,30,사과 사이다에는 뭐가 들어가나요? 진짜 사이다는 아니겠죠?,apple_soda,3500,1
10114,54,30,오렌지 파르페 한 잔 주세요,orange_frappe,3000,1
10115,54,30,요즘은 사이다도 비싸게 파는 구나. 오렌지 사이다요,orange_soda,3500,1
10116,54,30,무슨 주스 한 잔이 이렇게 비싸? 애플 사이다 하나 줘,apple_soda,3500,1
10117,54,30,카라-멜. 마끼아-또.,caramel macchiato,2500,1
10118,55,30,엄마가 아보카도 사오래요,affogato,3000,1
10119,55,30,제 친구가 제일 좋아하는 커피예요. 저도 먹어보려고요. 아세요? 바닐라 라떼요,vanilla_latte,2500,1
10120,55,30,밀초 하나,milk_choco,2000,1
10121,56,30,체리 베리 에이드? 베리는 라즈베리인가?,cherry_berry_ade,3000,1
10122,56,30,아이스 체리 베리 에이드 주세요,ice_cherry_berry_ade,3500,1
10123,56,30,딸기 프라페 한 잔 주세요,strawberry_frappe,3000,1
10124,57,30,여봐라. 초바라,choco_vanilla_latte,2700,1
10125,57,30,초코 바닐라 라떼 한 잔 줘요,choco_vanilla_latte,2700,1
10126,58,30,레몬차는 따뜻한 거죠?,lemon_tea,2000,1
10127,58,30,레몬차 주세요,lemon_tea,2000,1
10128,59,30,여기 차 종류는 없나요?,apple_tea,2000,1
10129,59,30,전 사과가 좋아요,apple_tea,2000,1
10130,60,30,사우어 파라다이스? 이건 왜 또 샤워가 아닌가요?,sour_paradise,4000,1
10131,60,30,사우어 파라다이스 한 잔 줘,sour_paradise,4000,1
